movement_id,product_id,warehouse_id,quantity,movement_type,movement_date,reference_number,reason,net_quantity
401,101,201,5500,IN,2025-01-05 09:15:00,PO-1001,Initial stock,5500
402,102,202,6500,IN,2025-01-05 10:30:00,PO-1002,Bulk order,6500
403,103,203,2800,IN,2025-01-06 11:45:00,PO-1003,Quarterly restock,2800
404,104,204,42000,IN,2025-01-06 14:20:00,PO-1004,New product line,42000
405,105,205,3800,IN,2025-01-07 08:10:00,PO-1005,Pre-holiday stock,3800
406,101,201,1500,IN,2025-01-08 10:00:00,PO-1006,Supplemental order,1500
407,102,202,2200,IN,2025-01-09 11:30:00,PO-1007,Vendor shipment,2200
408,103,203,1200,IN,2025-01-10 13:45:00,PO-1008,Seasonal stock,1200
409,104,204,1800,IN,2025-01-11 15:20:00,PO-1009,Backorder fulfillment,1800
410,105,205,900,IN,2025-01-12 09:30:00,PO-1010,Retail replenishment,900
411,101,201,1500,OUT,2025-01-13 11:20:00,SO-2001,Customer order #1001,-1500
412,102,202,3000,OUT,2025-01-14 14:35:00,SO-2002,Store transfer,-3000
413,103,203,800,OUT,2025-01-15 10:10:00,SO-2003,Damaged goods return,-800
414,104,204,2500,OUT,2025-01-16 15:45:00,SO-2004,Wholesale order,-2500
415,105,205,1500,OUT,2025-01-17 08:30:00,SO-2005,Online fulfillment,-1500
416,101,201,2000,IN,2025-01-18 18:24:50,PO-1011,Emergency restock,2000
417,102,202,1800,OUT,2025-01-19 09:15:00,SO-2006,Defective return,-1800
418,103,203,5500,IN,2025-01-20 13:30:00,PO-1012,New inventory,5500
419,104,204,1200,OUT,2025-01-21 16:20:00,SO-2007,Retail order,-1200
420,105,205,1000,IN,2025-01-22 10:45:00,PO-1013,Vendor delivery,1000
